priority,gapType,slot,item,color,material,suggestedKey,suggestedFilename,searchQuery,unsplashSearchUrl,pexelsSearchUrl,licenseNote
P0,noMatch,accessory,Backpack,black,nylon,accessory_black_backpack_nylon_studio,assets/recommendation-stock/accessory-black-backpack-nylon.jpg,black nylon Backpack flat lay studio product,https://unsplash.com/s/photos/black%20nylon%20Backpack%20flat%20lay%20studio%20product,https://www.pexels.com/search/black%20nylon%20Backpack%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P0,noMatch,accessory,Bow tie,navy,silk,accessory_navy_bow-tie_silk_studio,assets/recommendation-stock/accessory-navy-bow-tie-silk.jpg,navy silk Bow tie flat lay studio product,https://unsplash.com/s/photos/navy%20silk%20Bow%20tie%20flat%20lay%20studio%20product,https://www.pexels.com/search/navy%20silk%20Bow%20tie%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P0,noMatch,accessory,Bracelet,silver,metal,accessory_silver_bracelet_metal_studio,assets/recommendation-stock/accessory-silver-bracelet-metal.jpg,silver metal Bracelet flat lay studio product,https://unsplash.com/s/photos/silver%20metal%20Bracelet%20flat%20lay%20studio%20product,https://www.pexels.com/search/silver%20metal%20Bracelet%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P0,noMatch,accessory,Fedora,tan,wool,accessory_tan_fedora_wool_studio,assets/recommendation-stock/accessory-tan-fedora-wool.jpg,tan wool Fedora flat lay studio product,https://unsplash.com/s/photos/tan%20wool%20Fedora%20flat%20lay%20studio%20product,https://www.pexels.com/search/tan%20wool%20Fedora%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P0,noMatch,accessory,Necklace,silver,metal,accessory_silver_necklace_metal_studio,assets/recommendation-stock/accessory-silver-necklace-metal.jpg,silver metal Necklace flat lay studio product,https://unsplash.com/s/photos/silver%20metal%20Necklace%20flat%20lay%20studio%20product,https://www.pexels.com/search/silver%20metal%20Necklace%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P0,noMatch,accessory,Pocket square,navy,silk,accessory_navy_pocket-square_silk_studio,assets/recommendation-stock/accessory-navy-pocket-square-silk.jpg,navy silk Pocket square flat lay studio product,https://unsplash.com/s/photos/navy%20silk%20Pocket%20square%20flat%20lay%20studio%20product,https://www.pexels.com/search/navy%20silk%20Pocket%20square%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P0,noMatch,accessory,Tie,navy,silk,accessory_navy_tie_silk_studio,assets/recommendation-stock/accessory-navy-tie-silk.jpg,navy silk Tie flat lay studio product,https://unsplash.com/s/photos/navy%20silk%20Tie%20flat%20lay%20studio%20product,https://www.pexels.com/search/navy%20silk%20Tie%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P0,noMatch,outer,Quilted vest,olive,nylon,outer_olive_quilted-vest_nylon_studio,assets/recommendation-stock/outer-olive-quilted-vest-nylon.jpg,olive nylon Quilted vest flat lay studio product,https://unsplash.com/s/photos/olive%20nylon%20Quilted%20vest%20flat%20lay%20studio%20product,https://www.pexels.com/search/olive%20nylon%20Quilted%20vest%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P0,noMatch,shoes,Brogues,brown,leather,shoes_brown_brogues_leather_studio,assets/recommendation-stock/shoes-brown-brogues-leather.jpg,brown leather Brogues flat lay studio product,https://unsplash.com/s/photos/brown%20leather%20Brogues%20flat%20lay%20studio%20product,https://www.pexels.com/search/brown%20leather%20Brogues%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
P0,noMatch,shoes,Espadrilles,tan,canvas,shoes_tan_espadrilles_canvas_studio,assets/recommendation-stock/shoes-tan-espadrilles-canvas.jpg,tan canvas Espadrilles flat lay studio product,https://unsplash.com/s/photos/tan%20canvas%20Espadrilles%20flat%20lay%20studio%20product,https://www.pexels.com/search/tan%20canvas%20Espadrilles%20flat%20lay%20studio%20product/,"Verify license before use. Unsplash/Pexels: free for commercial, no attribution required (recommended). Pixabay: similar but check each image. Avoid Flickr/Google Images unless explicit CC0/CC-BY."
